Religion,Total,Male,Female
Totalpopulationinprivatehouseholds,360720,174800,185920
Buddhist,2760,1310,1455
Christian,226615,104125,122490
Anglican,27490,12095,15395
Baptist,9540,4390,5150
Catholic,97285,45390,51895
ChristianOrthodox,6535,3295,3245
Lutheran,4420,1970,2455
Pentecostal,4350,1980,2370
Presbyterian,10140,4535,5600
UnitedChurch,34185,15075,19105
OtherChristian,32665,15395,17270
Hindu,2790,1315,1470
Jewish,1715,815,900
Muslim,15780,7980,7805
Sikh,715,345,370
Traditional(Aboriginal)Spirituality,280,170,115
Otherreligions,2080,940,1140
Noreligiousaffiliation,107975,57800,50175